Numero_de_Parte,Descripcion,Categoria,En_Stock,Comprometido,Pedido,Disponible,Precio
KITADVFR4FSOS3,KIT PARADOR FRONTAL 4F CON SOPORTE S3,ACCES,128.0,0.0,0.0,128.0,2464.8
KITADVTR4RS0S1,KIT PARADOR TRASERO 4R CON SOPORTE S1,ACCES,118.0,0.0,0.0,118.0,2510.3
KITBMCA4,KIT BAJAJMANIA CG4,ACCES,3.0,0.0,0.0,3.0,861.83
KITCHAM2,CHAMARRA MOTODRIVE AZTEK,ACCES,335.0,0.0,0.0,335.0,1679.69
KITCHAMA,CHAMARRA TIBURON GRANDE,ACCES,128.0,0.0,0.0,128.0,1529.0
MD-F008,BALATA DEL SINTERIZADA i VRT 200,ACCES,492.0,0.0,0.0,492.0,74.48
MD-F009,BALATA DEL,ACCES,1492.0,0.0,0.0,1492.0,74.48
MD-F018,BALATA DEL SINTERIZADA i AT110,ACCES,492.0,0.0,0.0,492.0,75.8
MD-F033,BALATA DEL SINTERIZADA i 250Z/170Z/RT200/RT200GP,ACCES,486.0,0.0,0.0,486.0,83.06
MD-F060,BALATA DEL SINTERIZADA y XT250 YZ250,ACCES,487.0,0.0,0.0,487.0,113.44
MD-F082,BALATA DEL SINTERIZADA y YBR125G,ACCES,492.0,0.0,0.0,492.0,89.64
MD-F108,BALATA DEL SINTERIZADA y BWS125,ACCES,489.0,0.0,0.0,489.0,100.85
MD-F110,BALATA TRA SINTERIZADA i DM250,ACCES,487.0,0.0,0.0,487.0,87.68
MD-F117,BALATA DEL SINTERIZADA y SZ SZRR WAVE,ACCES,492.0,0.0,0.0,492.0,81.74
MD-F128,BALATA TRA SINTERIZADA i VRT 200,ACCES,492.0,0.0,0.0,492.0,74.6
MD-F269,BALATA TRA SINTERIZADA i VRT 300,ACCES,489.0,0.0,0.0,489.0,90.96
MDAFWL04,WL04 JGO DE LUCES AUXILIARES,ACCES,2.0,0.0,0.0,2.0,902.0
MDAMH202BKL,ARMADURA MD-MH202-BKL,ACCES,75.0,0.0,0.0,75.0,1037.82
MDAMH202BKM,ARMADURA MD-MH202-BKM,ACCES,37.0,0.0,0.0,37.0,1037.82
MDAMH202BKXL,ARMADURA MD-MH202-BKXL,ACCES,80.0,0.0,0.0,80.0,1037.82
MDAMH202BKXXL,ARMADURA MD-MH202-BKXXL,ACCES,37.0,0.0,0.0,37.0,1037.82
MDAMH202SLL,ARMADURA MD-MH202-SLL,ACCES,85.0,0.0,0.0,85.0,1086.82
MDAMH202SLM,ARMADURA MD-MH202-SLM,ACCES,40.0,0.0,0.0,40.0,1086.82
MDAMH202SLXL,ARMADURA MD-MH202-SLXL,ACCES,82.0,0.0,0.0,82.0,1086.32
MDAMH202SLXXL,ARMADURA MD-MH202-SLXXL,ACCES,41.0,0.0,0.0,41.0,1086.82
MDBLTOOTH,JUEGO DE INTERCOMUNICADOR BLUETOOTH PARA CASCO,ACCES,9.0,0.0,0.0,9.0,1894.0
MDFAL6A,FAROS AUXILIARES MOTODRIVE L6A,ACCES,77.0,0.0,0.0,77.0,641.0
